id,description,smarts,group,priority
244,gte_7_total_hal,"[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I].[Cl,Br,I]",BMS,7
245,gte_8_CF2_or_CH2,"[CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0][CH2,$(C(F)(F));R0]",BMS,7
246,halo_5heterocycle_bis_EWG,"[#7,#8,#16]1[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#6]([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])[#7][#6]1([Cl,Br,I])",BMS,7
247,halo_acrylate,"[$([C;H2]),$([C&H1;$(C-F)]),$([C&H1;$(C-Cl)]),$([C&H1;$(C-Br)]),$([C&H1;$(CI)]),$(C(F)F),$(C(Cl)Cl),$(C(Br)Br),$(C(I)I),$(C(F)Cl),$(C(F)Br),$(C(F)I),$(C(Cl)Br),$(C(Br)I)](=[$([C&H1;$(C(-C(=O)))]),$(C(F)(C(=O))),$(C(Cl)(C(=O))),$(C(Br)(C(=O))),$(C(I)(C(=O))),$(C(C)(C(=O))),$(C(c)(C(=O)))])",BMS,7
248,halo_imino,"C(=[#7])([Cl,Br,I,$(O(S(=O)(=O)))])",BMS,7
249,halo_olefin_bis_EWG,"C([Cl,Br,I,$(O(S(=O)(=O)))])=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])",BMS,7
250,halo_phenolic_carbonyl,"C(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])",BMS,7
251,halo_phenolic_sulfonyl,"S(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])",BMS,7
252,halogen_heteroatom,"[!C;!c;!H][F,Cl,Br,I]",BMS,7
253,hetero_silyl,[Si]~[!#6],BMS,7
254,hydrazine,[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]-[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))],BMS,7
255,hydrazothiourea,[N;!R]=NC(=S)N,BMS,7
256,hydroxamate_warhead,C([N;H1]([O;D1]))=O,BMS,7
257,hyperval_sulfur,"[$([#16&D3]),$([#16&D4])]=,:[#6]",BMS,7
258,isonitrile,[N+]#[C-],BMS,7
259,keto_def_heterocycle,"[$(c([C;!R;!$(C-[N,O,S]);!$(C-[H])](=O))1naaaa1),$(c([C;!R;!$(C-[N,O,S]);!$(C-[H])](=O))1naa[n,s,o]1)]",BMS,7
260,linear_polycyclic_aromatic_I,"[$(a12aaaaa1aa3a(aa(aaaa4)a4a3)a2),$(a12aaaaa1aa3a(aaa4a3aaaa4)a2),$(a12aaaaa1a(aa5)a3a(aaa4a3a5aaa4)a2)]",BMS,7
261,linear_polycyclic_aromatic_II,"[$(a12aaaa4a1a3a(aaaa3aa4)aa2),$(a12aaaaa1a3a(aaa4a3aaaa4)aa2),$(a1(a(aaaa4)a4a3a2aaaa3)a2aaaa1)]",BMS,7
262,maleimide_etc,"[$([C;H1]),$(C(-[F,Cl,Br,I]))]1=[$([C;H1]),$(C(-[F,Cl,Br,I]))]C(=O)[N,O,S]C(=O)1",BMS,7
263,meldrums_acid_deriv,O=C1OC(C)(C)OC(C1)=O,BMS,7
264,monofluoroacetate,"[C;H2](F)C(=O)[O,N,S]",BMS,7
265,nitrone,[C;!R]=[N+][O;D1],BMS,7
266,nitrosamine,N-[N;X2](=O),BMS,7
267,non_ring_CH2O_acetal,"[O,N,S;!$(S~O)]!@[CH2]!@[O,S,N;!$(S~O)]",BMS,7
268,non_ring_acetal,"[O,N,S;!$(S~O)]!@[C;H1;X4]!@[O,N,S;!$(S~O)]",BMS,7
269,non_ring_ketal,"[O,N,S;!$(S~O)]!@[C;H0;X4](!@[O,N,S;!$(S~O)])(C)",BMS,7
270,ortho_hydroiminoquinone,c1c([N;D1])c([N;D1])c[cH1][cH1]1,BMS,7
271,ortho_hydroquinone,"a1c([O,S;D1])c([O,S;D1])a[cH1][cH1]1",BMS,7
272,ortho_nitrophenyl_carbonyl,"[#6]1(-O-[C;!R](=[O,N;!R]))[#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6][#6][#6]1",BMS,7
273,ortho_quinone,"[CH1,$(C(-[Cl,Br,I]))]1=CC(=[O,N,S;!R])C(=[O,N,S])C=[CH1,$(C(-[Cl,Br,I]))]1",BMS,7
274,oxaziridine,"C1~[O,S]~N1",BMS,7
275,oxime,[$(C=N[O;D1]);!$(C=[N+])][#6][#6],BMS,7
276,oxonium,"[o+,O+]",BMS,7
277,para_hydroiminoquinone,a1[cH1]c([N;D1])[cH1]ac([N;D1])1,BMS,7
278,para_hydroquinone,"a1[cH1]c([O,S;D1])[cH1]ac([O,S;D1])1",BMS,7
279,para_nitrophenyl_ester,"[#6]1(-O(-[C;!R](-[!N])(=[O,N;!R])))[#6][#6][#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6]1",BMS,7
280,para_quinone,"[CH1,$(C(-[Cl,Br,I]))]1=[CH1,$(C(-[Cl,Br,I]))]C(=[O,N,S])[CH1,$(C(-[Cl,Br,I]))]=[CH1,$(C(-[Cl,Br,I]))]C1(=[O,N,S])",BMS,7
281,paraquat_like,[#6]1[#6][#6]([#6]2[#6][#6][#7;+][#6][#6]2)[#6][#6][#7;+]1,BMS,7
282,pentafluorophenylester,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),BMS,7
283,perchloro_cp,C1(Cl)(Cl)C(Cl)C(Cl)=C(Cl)C1(Cl),BMS,7
284,perhalo_dicarbonyl_phenyl,"c1(C=O)c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c1(C=O)",BMS,7
285,perhalo_phenyl,"c1c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c1([Br,Cl,I])",BMS,7
286,peroxide,[#8]~[#8],BMS,7
287,phenolate_bis_EWG,"O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1",BMS,7
288,phos_serine_warhead,NC(COP(O)(O)=O)C(O)=O,BMS,7
289,phos_threonine_warhead,NC(C(C)OP(O)(O)=O)C(O)=O,BMS,7
290,phos_tyrosine_warhead,NC(Cc1ccc(OP(O)(O)=O)cc1)C(O)=O,BMS,7
291,phosphite,"[c,C]-[P;v3]",BMS,7
292,phosphonium,[#15;+]~[!O],BMS,7
293,phosphorane,C=P,BMS,7
294,phosphorous_nitrogen_bond,"[#15]~[N,n]",BMS,7
295,phosphorus_phosphorus_bond,P~P,BMS,7
296,phosphorus_sulfur_bond,P~S,BMS,7
297,polyene,C=[C;!R][C;!R]=[C;!R][C;!R]=[C;!R],BMS,7
298,polyhalo_phenol_a,"c1c([O;D1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1.c1c([O;D1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1",BMS,7
299,polyhalo_phenol_b,"c1c([O;D1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1.c1c([O;D1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1",BMS,7
300,polyhalo_phenol_c,"c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1.c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1",BMS,7
301,polyhalo_phenol_d,"c(-[Cl,Br,I])1c([O;D1])c(-[Cl,Br,I])ccc1.c(-[Cl,Br,I])1c([O;D1])c(-[Cl,Br,I])ccc1",BMS,7
302,polyhalo_phenol_e,"c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1.c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1",BMS,7
303,polysulfide,[S;D2]-[S;D2]-[S;D2],BMS,7
304,porphyrin,"[#6;r16,r17,r18]~[#6]1~[#6]~[#6]~[#6](~[#6])~[#7]1",BMS,7
305,primary_halide_sulfate,"[CH2][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]",BMS,7
306,quat_N_N,"[N,n;R;+]!@[N,n]",BMS,7
307,quat_N_acyl,"[N,n;+]!@C(=O)",BMS,7
308,quinone_methide,"[#6;!$([#6](-[N,O,S]))]1=[#6;!$([#6](-[N,O,S]))][#6](=[#6])[#6;!$([#6](-[N,O,S]))]=[#6;!$([#6](-[N,O,S]))][#6]1(=[O,N,S])",BMS,7
309,rhodanine,C(=C)1SC(=S)NC(=O)1,BMS,7
310,secondary_halide_sulfate,"[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]",BMS,7
311,sulf_D2_nitrogen,[S;D2](-[N;!$(N(=C));!$(N(-S(=O)(=O)));!$(N(-C(=O)))]),BMS,7
312,sulf_D2_oxygen_D2,[S;D2][O;D2],BMS,7
313,sulf_D3_nitrogen,"[S;D3](-N)(-[c,C])(-[c,C])",BMS,7
314,sulfite_sulfate_ester,"[C,c]OS(=O)O[C,c]",BMS,7
315,sulfonium,[S+;X3;$(S-C);!$(S-[O;D1])],BMS,7
316,sulfonyl_anhydride,"[$(C(=O)),$(S(=O)(=O))][O,S](S(=O)(=O))",BMS,7
317,sulfonyl_halide,"S(=O)(=O)[F,Cl,Br,I]",BMS,7
318,sulfonyl_heteroatom,"[!#6;!#1;!#11;!#19]O(S(=O)(=O)(-[C,c]))",BMS,7
319,sulphonyl_cyanide,S(=O)(=O)C#N,BMS,7
320,tertiary_halide_sulfate,"[C;X4](-[Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))])(-[c,C])(-[c,C])(-[c,C])",BMS,7
321,thio_hydroxamate,"[S;D2]([$(N(=C)),$(N(-S(=O)(=O))),$(N(-C(=O)))])",BMS,7
322,thio_xanthate,[S;!R]-[C;!R](=[S;!R])(-[S;!R]),BMS,7
323,thiocarbonate,"SC(=O)[O,S]",BMS,7
324,thioester,"[S;!R;H0]C(=[S,O;!R])([!O;!S;!N])",BMS,7
325,thiol_warhead,NC(C[S;D1])C(O)=O,BMS,7
326,thiopyrylium,"c1[S,s;+]cccc1",BMS,7
327,thiosulfoxide,"[C,c][S;X3](~O)-S",BMS,7
328,triamide,"[$(N(-C(=O))(-C(=O))(-C(=O))),$(n([#6](=O))([#6](=O))([#6](=O)))]",BMS,7
329,triaryl_phosphine_oxide,P(=O)(a)(a)(a),BMS,7
330,trichloromethyl_ketone,[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(Cl)(Cl)(Cl),BMS,7
331,triflate,OS(=O)(=O)(C(F)(F)(F)),BMS,7
332,trifluoroacetate_ester,C(F)(F)(F)C(=O)O,BMS,7
333,trifluoroacetate_thioester,C(F)(F)(F)C(=O)S,BMS,7
334,trifluoromethyl_ketone,[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(F)(F)(F),BMS,7
335,trihalovinyl_heteroatom,"C(-[Cl,Br,I])(-[Cl,Br,I])=C(-[Cl,Br,I])(-[N,O,S])",BMS,7
336,trinitro_aromatic,"[$(a1aaa([$(N(=O)(=O)),$([N+](=O)[O-])])a([$(N(=O)(=O)),$([N+](=O)[O-])])a1([$(N(=O)(=O)),$([N+](=O)[O-])])),$(a1aa([$(N(=O)(=O)),$([N+](=O)[O-])])a([$(N(=O)(=O)),$([N+](=O)[O-])])aa1([$(N(=O)(=O)),$([N+](=O)[O-])])),$(a1a([$(N(=O)(=O)),$([N+](=O)[O-])])aa([$(N(=O)(=O)),$([N+](=O)[O-])])aa1([$(N(=O)(=O)),$([N+](=O)[O-])]))]",BMS,7
337,trinitromethane_derivative,"C([$([N+](=O)[O-]),$(N(=O)=O)])([$([N+](=O)[O-]),$(N(=O)=O)])([$([N+](=O)[O-]),$(N(=O)=O)])",BMS,7
338,tris_activated_aryl_ester,"[$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aaa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1)]",BMS,7
339,trisub_bis_act_olefin,"[CH;!R;!$(C-N)]=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])",BMS,7
340,vinyl_carbonyl_EWG,"[C;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])=[C;!R]([C;!R](=O))([!$([#8]);!$([#7])])",BMS,7
341,ene_six_het_A(483),[#6]-1(-[#6](~[!#6&!#1]~[#6]-[!#6&!#1]-[#6]-1=[!#6&!#1])~[!#6&!#1])=[#6;!R],PAINS,6
342,hzone_phenol_A(479),c:1:c:c(:c(:c:c:1)-[#6]=[#7]-[#7])-[O;H1],PAINS,6
343,anil_di_alk_A(478),"[C;H2]N([C;H2])c1cc([$([H]),$([C;H2]),$([O][C;H2][C;H2])])c(N)c([H])c1",PAINS,6
344,indol_3yl_alk(461),"n:1(c(c(c:2:c:1:c:c:c:c:2-[H])-[C;D4]-[H])-[$([C;H2]),$([C]=,:[!C]),$([C;H1][N]),$([C;H1]([C;H2])[N;H1][C;H2]),$([C;H1]([C;H2])[C;H2][N;H1][C;H2])])-[$([H]),$([C;H2])]",PAINS,6
345,quinone_A(370),"[!#6&!#1]=[#6]-1-[#6]=,:[#6]-[#6](=[!#6&!#1])-[#6]=,:[#6]-1",PAINS,6
346,azo_A(324),[#7;!R]=[#7],PAINS,6
347,imine_one_A(321),"[#6]-[#6](=[!#6&!#1;!R])-[#6](=[!#6&!#1;!R])-[$([#6]),$([#16](=[#8])=[#8])]",PAINS,6
348,mannich_A(296),[#7]-[C;X4]-c1ccccc1-[O;H1],PAINS,6
349,anil_di_alk_B(251),c:1:c:c(:c:c:c:1-[#7](-[#6;X4])-[#6;X4])-[#6]=[#6],PAINS,6
350,anil_di_alk_C(246),"c:1:c:c(:c:c:c:1-[#8]-[#6;X4])-[#7](-[#6;X4])-[$([#1]),$([#6;X4])]",PAINS,6
351,ene_rhod_A(235),[#7]-1-[#6](=[#16])-[#16]-[#6](=[#6])-[#6]-1=[#8],PAINS,6
352,hzone_phenol_B(215),c:1(:c:c:c(:c:c:1)-[#6]=[#7]-[#7])-[#8]-[#1],PAINS,6
353,ene_five_hetA1(201A),"[#6]-1(=[#6])-[#6]=[#7]-[#7,#8,#16]-[#6]-1=[#8]",PAINS,6
354,ene_five_het_A(201),[#6]-1(=[#6])-[#6]=[#7]-[!#6&!#1]-[#6]-1=[#8],PAINS,6
355,anil_di_alk_D(198),"c:1:c:c(:c:c:c:1-[#7](-[#6;X4])-[#6;X4])-[#6;X4]-[$([#8]-[#1]),$([#6]=[#6]-[#1]),$([#7]-[#6;X4])]",PAINS,6
356,imine_one_isatin(189),[#8]=[#6]-2-[#6](=!@[#7]-[#7])-c:1:c:c:c:c:c:1-[#7]-2,PAINS,6
357,anil_di_alk_E(186),"[#6](-[#1])-[#7](-[#6](-[#1])-[#1])-c:1:c(:c(:c(:c(:c:1-[#1])-[$([#1]),$([#6](-[#1])-[#1])])-[#6](-[#1])-[$([#1]),$([#6]-[#1])])-[#1])-[#1]",PAINS,6
358,thiaz_ene_A(128),"[#6]-1(=[#6](-[$([#1]),$([#6](-[#1])-[#1]),$([#6]=[#8])])-[#16]-[#6](-[#7]-1-[$([#1]),$([#6]-[#1]),$([#6]:[#6])])=[#7;!R])-[$([#6](-[#1])-[#1]),$([#6]:[#6])]",PAINS,6
359,pyrrole_A(118),n2(-[#6]:1:[!#1]:[#6]:[#6]:[#6]:[#6]:1)c(cc(c2-[#6;X4])-[#1])-[#6;X4],PAINS,6
360,catechol_A(92),c:1:c:c(:c(:c:c:1)-[#8;H1])-[#8;H1],PAINS,6
361,ene_five_het_B(90),[#6]-1(=[#6])-[#6](-[#7]=[#6]-[#16]-1)=[#8],PAINS,6
362,imine_one_fives(89),[#6]-1=[!#1]-[!#6&!#1]-[#6](-[#6]-1=[!#6&!#1;!R])=[#8],PAINS,6
363,ene_five_het_C(85),[#6]-1(-[#6](-[#6]=[#6]-[!#6&!#1]-1)=[#6])=[!#6&!#1],PAINS,6
364,hzone_pipzn(79),"CN1[C;H2][C;H2]N(N=[C;H1][#6]=,:[#6])[C;H2][C;H2]1",PAINS,6
365,keto_keto_beta_A(68),c:1-2:c(:c:c:c:c:1)-[#6](=[#8])-[#6;X4]-[#6]-2=[#8],PAINS,6
366,hzone_pyrrol(64),Cn1cccc1C=NN,PAINS,6
367,ene_one_ene_A(57),[#6]=!@[#6](-[!#1])-@[#6](=!@[!#6&!#1])-@[#6](=!@[#6])-[!#1],PAINS,6
368,cyano_ene_amine_A(56),N#CC=C(N)C(C#N)C#N,PAINS,6
369,ene_five_one_A(55),c:1-2:c(:c:c:c:c:1)-[#6](=[#8])-[#6](=[#6])-[#6]-2=[#8],PAINS,6
370,cyano_pyridone_A(54),N#Cc1ccc[#7;H1]c1=S,PAINS,6
371,anil_alk_ene(51),c:1:c:c-2:c(:c:c:1)-[#6]-3-[#6](-[#6]-[#7]-2)-[#6]-[#6]=[#6]-3,PAINS,6
372,amino_acridine_A(46),c:1:c:2:c(:c:c:c:1):n:c:3:c(:c:2-[#7]):c:c:c:c:3,PAINS,6
373,ene_five_het_D(46),[#6]-1(=[#6])-[#6](=[#8])-[#7]-[#7]-[#6]-1=[#8],PAINS,6
374,thiophene_amino_Aa(45),[H]N([H])c1sc([!#1])c([!#1])c1C=O,PAINS,6
375,ene_five_het_E(44),[#7]-[#6]=!@[#6]-2-[#6](=[#8])-c:1:c:c:c:c:c:1-[!#6&!#1]-2,PAINS,6
376,sulfonamide_A(43),"NS(=O)(=O)c1cc([F,Cl,Br,I])cc([F,Cl,Br,I])c1O",PAINS,6
377,thio_ketone(43),[#6]-[#6](=[#16])-[#6],PAINS,6
378,sulfonamide_B(41),[H]N(c1ccc([O;H1])cc1)S(=O)=O,PAINS,6
379,anil_no_alk(40),"c:1(:c(:c(:c(:c(:c:1-[#1])-[#1])-[$([#8]),$([#7]),$([#6](-[#1])-[#1])])-[#1])-[#1])-[#7](-[#1])-[#1]",PAINS,6
380,thiophene_amino_Ab(40),"[$([#1]),$([#6](-[#1])-[#1]),$([#6]:[#6])]-c:1:c(:c(:c(:s:1)-[#7](-[#1])-[#6](=[#8])-[#6])-[#6](=[#8])-[#8])-[$([#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1),$([#6]:1:[#16]:[#6]:[#6]:[#6]:1)]",PAINS,6
381,het_pyridiniums_A(39),"[H]c1c([$([N]),$([H])])ccc2ccc[n+]([$([O;X1]),$([C;H3]),$([#6][#6]:[#6]),$([#6][#6][#8]),$([#6][#6](C)=[#8]),$([#6][#6](N)=[#8]),$([#6][#6][#6])])c12",PAINS,6
382,anthranil_one_A(38),CC(=O)c1ccccc1[#7;H1][!$([#6]=[#8])],PAINS,6
383,cyano_imine_A(37),[#7;H1][#7]=[#6](-[#6]#[#7])-[#6]=[!#6&!#1;!R],PAINS,6
384,diazox_sulfon_A(36),"[#7](-c:1:c:c:c:c:c:1)-[#16](=[#8])(=[#8])-[#6]:2:[#6]:[#6]:[#6]:[#6]:3:[#7]:[$([#8]),$([#16])]:[#7]:[#6]:2:3",PAINS,6
385,hzone_anil_di_alk(35),"[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#6](-[#1])=[#7]-[#7]-[$([#6](=[#8])-[#6](-[#1])(-[#1])-[#16]-[#6]:[#7]),$([#6](=[#8])-[#6](-[#1])(-[#1])-[!#1]:[!#1]:[#7]),$([#6](=[#8])-[#6]:[#6]-[#8]-[#1]),$([#6]:[#7]),$([#6](-[#1])(-[#1])-[#6](-[#1])-[#8]-[#1])])-[#1])-[#1]",PAINS,6
386,rhod_sat_A(33),[#7]-1-[#6](=[#16])-[#16]-[#6;X4]-[#6]-1=[#8],PAINS,6
387,hzone_enamin(30),"[#7][#7]=[#6][#6](-[$([#1]),$([#6])])=[#6]([#6])-!@[$([#7]),$([#8])]",PAINS,6
388,pyrrole_B(29),[#6;X4]c1ccc([#6]:[#6])n1c2ccccc2,PAINS,6
389,thiophene_hydroxy(28),s1ccc(c1)-[#8;H1],PAINS,6
390,cyano_pyridone_B(27),"[!#6][#6]1=,:[#7][#6]([#6])=,:[#6](C#N)[#6](=O)[#7]1",PAINS,6
391,imine_one_sixes(27),[#6]-1(-[#6](=[#8])-[#7]-[#6](=[#8])-[#7]-[#6]-1=[#8])=[#7],PAINS,6
392,dyes5A(27),"[#6]=,:[#6]:[#7]([#6])~[#6]:[#6]=,:[#6][#6]~[#6]:[#7]",PAINS,6
393,naphth_amino_A(25),"c1cc2cccc3[#7][#6]=,:[#7]c(c1)c23",PAINS,6
394,naphth_amino_B(25),[C;X4]1[N;H1]c3cccc2cccc([N;H1]1)c23,PAINS,6
395,ene_one_ester(24),[#6]-[#8]-[#6](=[#8])-[#6](-[#7][#6])=[#6]-[#6](-[#6])=[#8],PAINS,6
396,thio_dibenzo(23),"S=[#6]1[#6]=,:[#6][!#6,!#6][#6]=,:[#6]1",PAINS,6
397,cyano_cyano_A(23),"[#6](-[#6]#[#7])(-[#6]#[#7])-[#6](-[$([#6]#[#7]),$([#6]=[#7])])-[#6]#[#7]",PAINS,6
398,hzone_acyl_naphthol(22),[H]c2c([H])c([H])c1c([H])c(C(=O)NN=C)c(O)c([H])c1c2[H],PAINS,6
399,het_65_A(21),O=Cc1cnn2c([#8;H1])ccnc12,PAINS,6
400,imidazole_A(19),n:1:c(:n(:c(:c:1-c:2:c:c:c:c:c:2)-c:3:c:c:c:c:c:3)-[#1])-[#6]:[!#1],PAINS,6
401,ene_cyano_A(19),[#6](-[#6]#[#7])(-[#6]#[#7])=[#6]-c:1:c:c:c:c:c:1,PAINS,6
402,anthranil_acid_A(19),C=NNc1ccccc1C(=O)[#8;H1],PAINS,6
403,dyes3A(19),"[#6]-,:[#6]:[#7+]=,:[#6][#6]=[#6][#7][#6;X4]",PAINS,6
404,dhp_bis_amino_CN(19),"[#6]=,:[#6]C1C(C#N)=C(N)SC(N)=C1C#N",PAINS,6
405,het_6_tetrazine(18),"[#7]~[#6]:1:[#7]:[#7]:[#6](:[$([#7]),$([#6]-[#1]),$([#6]-[#7]-[#1])]:[$([#7]),$([#6]-[#7])]:1)-[$([#7]-[#1]),$([#8]-[#6](-[#1])-[#1])]",PAINS,6
406,ene_one_hal(17),"[#6]-[#6]=[#6](-[F,Cl,Br,I])-[#6](=[#8])-[#6]",PAINS,6
407,cyano_imine_B(17),N#CC(C#N)=NNc1ccccc1,PAINS,6
408,thiaz_ene_B(17),"[#6]NC(=O)-!@[#6]1=,:[#6]([$([N]),$(NC(=O)[#6]:[#6])])[#7]([$([#6;H2]-[#6;H1]=[#6;H2]),$([#6]=,:[#6])])[#6](=S)[#16]1",PAINS,6
409,ene_rhod_B(16),"[H]C([$([#6]-[#35]),$([#6]:[#6](-[#1]):[#6](-[F,Cl,Br,I]):[#6]:[#6]-[F,Cl,Br,I]),$([#6]:[#6](-[#1]):[#6](-[#1]):[#6]-[#16]-[#6](-[#1])-[#1]),$([#6]:[#6]:[#6]:[#6]:[#6]:[#6]:[#6]:[#6]:[#6]:[#6]-[#8]-[#6;H2]),$([#6]:1:[#6](-[#6;H2]):[#7](-[#6;H2]):[#6](-[#6;H2]):[#6]:1)])=C1SC(=O)[N]C1=O",PAINS,6
410,thio_carbonate_A(15),"[#7,#8]c2ccc1oc(=[#8,#16])sc1c2",PAINS,6
411,anil_di_alk_furan_A(15),[#7](-[#6](-[#1])-[#1])(-[#6](-[#1])-[#1])-c:1:c(:c(:c(:o:1)-[#6]=[#7]-[#7](-[#1])-[#6]=[!#6&!#1])-[#1])-[#1],PAINS,6
412,ene_five_het_F(15),O=[#6]2[#6](=!@[#6]c1ccccc1)Sc3ccccc23,PAINS,6
413,anil_di_alk_F(14),"c:1:c:c(:c:c:c:1-[#6;X4]-c:2:c:c:c(:c:c:2)-[#7](-[$([#1]),$([#6;X4])])-[$([#1]),$([#6;X4])])-[#7](-[$([#1]),$([#6;X4])])-[$([#1]),$([#6;X4])]",PAINS,6
414,hzone_anil(14),c:1(:c(:c(:c(:c(:c:1-[#1])-[#1])-[#7](-[#1])-[#1])-[#1])-[#1])-[#6]=[#7]-[#7]-[#1],PAINS,6
415,het_5_pyrazole_OH(14),"c1(nn(c(c1-[$([#1]),$([#6]-[#1])])-[#8]-[#1])-c:2:c(:c(:c(:c(:c:2-[#1])-[#1])-[#1])-[#1])-[#1])-[#6;X4]",PAINS,6
